episode,reward,crashed,length
670,2.599059,1,4
671,14.478067,1,17
672,20.857024,0,30
673,7.164999,1,10
674,6.146648,1,9
675,9.952931,1,11
676,13.953976,1,15
677,7.289798,1,10
678,10.748153,1,12
679,17.357143,1,19
680,24.761774,1,28
681,4.959018,1,6
682,1.600054,1,3
683,11.557586,1,13
684,20.468116,1,27
685,21.371819,1,25
686,7.758307,1,9
687,5.395939,1,7
688,10.195798,1,11
689,2.935514,1,5
690,1.363636,1,3
691,7.204954,1,10
692,9.193633,1,11
693,1.958373,1,3
694,3.957201,1,5
695,3.760353,1,5
696,1.276554,1,2
697,1.960209,1,3
698,3.758123,1,5
699,3.964917,1,6
700,6.811472,1,10
701,2.761346,1,4
702,4.368433,1,6
703,16.648994,1,21
704,2.39591,1,4
705,3.765991,1,5
706,7.504776,1,10
707,11.591188,1,13
708,0.966017,1,2
709,25.495207,0,30
710,13.764826,1,16
711,0.966017,1,2
712,6.754235,1,8
713,6.967224,1,9
714,3.36719,1,5
715,4.403211,1,6
716,12.559464,1,14
717,10.062368,1,14
718,11.76175,1,14
719,11.917408,1,13
720,5.56132,1,7
721,9.267958,1,12
722,14.163022,1,16
723,11.963509,1,14
724,9.883929,1,13
725,5.792283,1,7
726,3.19827,1,5
727,9.683572,1,12
728,13.556967,1,19
729,10.446445,1,13
730,16.453914,1,19
731,2.39591,1,4
732,1.597429,1,3
733,9.258951,1,12
734,26.461738,0,30
735,10.587636,1,12
736,28.404021,0,30
737,6.757919,1,8
738,6.455288,1,8
739,20.895599,0,30
740,5.957163,1,7
741,7.807347,1,10
742,6.756459,1,8
743,6.908133,1,9
744,16.622208,1,21
745,14.559435,1,16
746,16.953449,1,18
747,13.844669,1,17
748,9.703045,1,12
749,19.951094,1,22
750,1.198555,1,2
751,1.960209,1,3
752,5.593445,1,7
753,4.361383,1,6
754,13.361738,1,15
755,15.360741,1,17
756,1.960209,1,3
757,6.214934,1,8
758,5.85302,1,7
759,2.599059,1,4
760,18.374495,1,22
761,2.959217,1,4
762,10.358372,1,12
763,13.163558,1,15
764,3.957201,1,5
765,8.561314,1,10
766,6.124382,1,9
767,5.277262,1,7
768,14.311706,1,16
769,18.779068,1,22
770,3.957198,1,5
771,1.124008,1,2
772,8.04991,1,11
773,1.958373,1,3
774,10.909198,1,16
775,5.778499,1,9
776,17.567092,1,19
777,5.955334,1,7
778,4.985756,1,6
779,17.56044,1,19
780,1.960209,1,3
781,1.960209,1,3
782,9.361382,1,11
783,3.050596,1,4
784,10.87577,1,12
785,3.593243,1,5
786,6.195803,1,7
787,19.555458,1,21
788,3.792321,1,5
789,6.524687,1,8
790,5.957172,1,7
791,15.807349,1,20
792,4.553193,1,6
793,13.646683,1,16
794,5.756447,1,7
795,1.278391,1,2
796,2.399343,1,4
797,3.800076,1,5
798,6.362456,1,8
799,5.971698,1,8
800,8.654541,1,10
801,9.362455,1,11
802,23.280129,0,30
803,9.561425,1,11
804,16.773607,1,22
805,6.248837,1,9
806,9.072796,1,10
807,10.3674,1,12
808,5.760155,1,7
809,3.959047,1,5
810,20.555366,1,22
811,5.963519,1,8
812,15.78684,1,17
813,6.084138,1,7
814,7.388753,1,9
815,4.959018,1,6
816,5.563034,1,7
817,22.592177,0,30
818,3.957198,1,5
819,8.155429,1,10
820,3.275383,1,4
821,9.923187,1,11
822,9.822019,1,13
823,1.960209,1,3
824,10.476817,1,14
825,4.392541,1,6
826,6.721602,1,8
827,10.756742,1,12
828,11.192591,1,13
829,5.438411,1,7
830,4.926283,1,7
831,5.788703,1,7
832,3.057051,1,5
833,11.97159,1,15
834,13.964864,1,16
835,3.957201,1,5
836,2.566059,1,4
837,2.277399,1,3
838,7.98759,1,9
839,7.269564,1,8
840,3.200465,1,5
841,5.61829,1,8
842,1.958373,1,3
843,7.959012,1,9
844,11.561286,1,13
845,6.40799,1,8
846,4.756113,1,6
847,0.966017,1,2
848,4.587635,1,6
849,3.959047,1,5
850,9.245491,1,11
851,7.044455,1,8
852,6.957171,1,8
853,12.955058,1,14
854,6.792282,1,8
855,22.920971,1,26
856,1.600037,1,3
857,8.758298,1,10
858,14.557573,1,16
859,6.759292,1,8
860,7.538643,1,10
861,1.958373,1,3
862,4.959018,1,6
863,11.389249,1,14
864,11.180734,1,15
865,28.629627,0,30
866,3.565067,1,5
867,5.955306,1,7
868,11.10625,1,15
869,2.399329,1,4
870,14.818073,1,18
871,8.559445,1,10
872,20.852613,1,29
873,3.957206,1,5
874,7.758299,1,9
875,13.955312,1,15
876,6.765956,1,8
877,9.792282,1,11
878,13.402087,1,16
879,5.957167,1,7
880,11.959012,1,13
881,1.958373,1,3
882,3.195822,1,4
883,4.792288,1,6
884,3.494432,1,6
885,5.967203,1,8
886,5.788306,1,7
887,1.786234,1,3
888,11.312238,1,14
889,9.957162,1,11
890,2.123509,1,3
891,27.813403,0,30
892,1.764923,1,3
893,8.757441,1,10
894,2.759509,1,4
895,18.0015,1,25
896,8.323098,1,10
897,4.215161,1,6
898,12.992768,1,14
899,3.959047,1,5
900,1.958373,1,3
901,10.081276,1,14
902,7.203234,1,9
903,4.406377,1,6
904,2.284091,1,4
905,7.955316,1,9
906,6.759295,1,8
907,10.360721,1,14
908,5.957167,1,7
909,1.121128,1,2
910,7.054113,1,8
911,18.12971,1,22
912,11.414479,1,15
913,9.479569,1,12
914,1.960209,1,3
915,14.36654,1,16
916,4.812129,1,7
917,20.496689,1,25
918,6.324468,1,8
919,25.003258,1,27
920,16.148081,1,23
921,1.278391,1,2
922,10.201706,1,12
923,6.567262,1,8
924,7.173976,1,10
925,13.052263,1,14
926,13.227525,1,15
927,24.347994,0,30
928,4.790576,1,6
929,6.563006,1,8
930,10.559435,1,12
931,4.957169,1,6
932,3.758513,1,5
933,23.224315,0,30
934,27.610593,0,30
935,19.637731,1,27
936,5.68306,1,8
937,1.124008,1,2
938,3.567297,1,5
939,2.792487,1,4
940,13.36228,1,15
941,4.528402,1,7
942,15.993276,1,18
943,5.768759,1,8
944,6.034566,1,9
945,3.957198,1,5
946,19.963852,1,22
947,17.277194,1,18
948,0.851413,1,2
949,10.318595,1,12
950,3.20231,1,5
951,13.446468,1,16
952,4.08539,1,6
953,4.082819,1,6
954,2.759115,1,4
955,14.62292,1,18
956,3.760353,1,5
957,12.356476,1,14
958,13.95136,1,15
959,5.959013,1,7
960,5.959013,1,7
961,10.361592,1,12
962,9.567092,1,11
963,4.760184,1,6
964,3.758513,1,5
965,16.916568,1,20
966,17.358984,1,19
967,4.959018,1,6
968,11.000523,1,13
969,9.761178,1,12
970,4.802349,1,7
971,24.228647,0,30
972,8.354291,1,10
973,1.960209,1,3
974,13.011994,1,15
975,6.275344,1,7
976,2.120634,1,3
977,1.795329,1,3
978,20.890865,0,30
979,7.959012,1,9
980,11.559055,1,13
981,3.927251,1,6
982,11.010261,1,13
983,3.204545,1,5
984,10.479035,1,12
985,5.760155,1,7
986,8.689857,1,11
987,1.960209,1,3
988,10.143824,1,13
989,2.401173,1,4
990,4.357717,1,6
991,21.211334,0,30
992,5.885341,1,8
993,4.959018,1,6
994,3.959047,1,5
995,1.600037,1,3
996,9.85525,1,11
997,2.957377,1,4
998,4.365321,1,6
999,15.759915,1,19
1000,4.568091,1,6
1001,3.052257,1,4
1002,1.767153,1,3
1003,14.485279,1,18
1004,10.560077,1,13
1005,13.459076,1,17
1006,8.559444,1,10
1007,4.721705,1,6
1008,6.88294,1,9
1009,13.951879,1,15
1010,2.401174,1,4
1011,2.401191,1,4
1012,6.955316,1,8
1013,16.362694,1,18
1014,1.960209,1,3
1015,10.283193,1,13
1016,4.559254,1,6
1017,11.205166,1,15
1018,1.602273,1,3
1019,12.565122,1,15
1020,7.361752,1,9
1021,14.6523,1,16
1022,12.66083,1,15
1023,6.706598,1,10
1024,12.260224,1,15
1025,6.959012,1,8
1026,2.589422,1,4
1027,20.158421,1,28
1028,11.643447,1,14
1029,3.957206,1,5
1030,1.997379,1,3
1031,2.121655,1,3
1032,2.131782,1,4
1033,10.128199,1,14
1034,4.8046,1,7
1035,17.116017,1,18
1036,2.959217,1,4
1037,4.957177,1,6
1038,18.059803,1,20
1039,21.572689,0,30
1040,22.38289,0,30
