#{"t_start": 1776087011.1915166, "env_id": "highway-v0"}
r,l,t
14.12753,19,1661.080886
6.753976,8,1663.879481
16.694797,21,1671.11321
0.966017,2,1671.842839
5.156965,7,1674.244287
4.202157,6,1676.305845
5.166066,7,1678.737864
3.999729,6,1680.813627
8.377724,11,1684.582846
15.062432,22,1692.192954
2.727273,5,1693.929393
20.725114,30,1704.183589
1.767153,3,1705.230779
2.957371,4,1706.626971
4.957172,6,1708.714188
5.763219,8,1711.426958
7.392342,9,1714.575043
10.760092,13,1719.082136
1.598207,3,1720.146841
4.19534,5,1721.884539
20.181421,27,1731.136581
13.389017,15,1927.394521
3.959047,5,1929.116166
2.41598,4,1930.520077
2.396743,4,1931.910198
9.68545,12,1936.124682
2.401191,4,1937.511193
7.019538,10,1940.957389
14.363034,17,1946.770789
2.403409,4,1948.156251
4.527317,7,1950.624815
21.72398,30,1961.250106
9.196256,11,1965.029125
2.759115,4,1966.417758
1.922914,3,1967.46062
8.85525,10,1970.965963
1.795329,3,1972.049565
4.788699,6,1974.128283
2.757291,4,1975.538056
7.85525,9,1978.659004
3.196006,5,1980.416197
3.855952,6,1982.467583
15.377844,21,1989.720236
11.359885,13,1994.174143
13.004698,15,1999.429824
11.65262,16,2004.989054
22.561311,30,2015.488582
10.247583,13,2020.003863
3.957201,5,2021.740238
2.959217,4,2023.121098
5.983931,7,2025.511168
1.960209,3,2026.601095
1.795329,3,2027.673981
6.602002,9,2030.827296
5.881282,8,2033.639582
4.157973,6,2035.734144
17.371742,22,2043.355728
23.930724,30,2053.690129
1.278391,2,2054.393704
6.246788,9,2057.519412
6.58877,10,2060.951282
0.801136,2,2061.659222
4.001212,6,2063.776816
5.59342,7,2066.239327
17.841468,21,2073.455015
26.281666,30,2083.849323
5.076106,6,2085.976467
13.651272,16,2091.505951
4.758343,6,2093.59268
15.638365,18,2099.818087
10.211899,13,2104.288966
14.094978,19,2110.86844
23.66514,30,2121.277751
1.925144,3,2122.351875
14.544159,19,2128.889766
4.60813,7,2131.384573
4.955589,6,2133.456091
23.910665,30,2143.874674
8.555626,10,2147.326411
22.05347,30,2157.709433
1.958373,3,2158.751408
1.960209,3,2159.79101
11.733245,15,2165.012262
12.072263,16,2170.553724
10.556707,12,2174.723146
2.794337,4,2176.122089
11.847465,15,2181.238422
10.328554,14,2186.076702
10.752621,12,2190.218162
3.40935,5,2191.967737
1.597429,3,2193.022365
3.957206,5,2194.756629
3.957198,5,2196.501044
3.959047,5,2198.235455
1.784043,3,2199.30364
1.598207,3,2200.389653
13.55395,15,2205.537956
4.758338,6,2207.672696
1.767153,3,2208.742543
5.475956,7,2211.185983
4.957168,6,2213.264635
4.557414,6,2215.35732
1.278391,2,2216.076711
4.959018,6,2218.15424
17.648589,22,2225.727835
4.555573,6,2227.814451
0.966017,2,2228.53341
4.957168,6,2230.597776
3.759339,5,2232.340643
14.639986,18,2238.530601
16.085132,19,2245.122611
5.197649,6,2247.202498
6.251918,9,2250.319902
11.486424,14,2255.161933
10.443585,13,2259.672866
1.767153,3,2260.720125
3.794167,5,2262.461862
14.153347,16,2267.948904
6.959012,8,2270.69354
13.652912,15,2275.940467
4.206271,6,2278.006933
1.124008,2,2278.716003
3.959047,5,2280.45919
7.55273,9,2283.566133
19.655542,24,2291.849172
14.160456,20,2298.889209
7.752635,9,2302.039583
12.962362,16,2307.602754
1.795329,3,2308.641056
5.355936,7,2311.074332
14.79126,18,2317.375944
8.759539,11,2321.224749
1.960209,3,2322.254633
11.382934,13,2326.819896
8.560214,10,2330.348306
17.803619,20,2337.229396
2.919541,4,2338.608003
12.79902,15,2343.756787
19.679321,23,2351.698772
25.180275,30,2362.020164
2.957377,4,2363.408646
4.056199,6,2365.487682
4.955331,6,2367.621092
8.045719,10,2371.099644
14.165442,17,2376.931213
6.392331,8,2379.74069
5.356705,7,2382.210969
18.810067,23,2390.395313
4.526207,7,2392.781501
3.999409,6,2394.840489
5.756191,7,2397.315926
6.166288,8,2400.0991
6.080361,8,2402.883198
8.245941,11,2406.760175
19.115861,28,2416.273489
5.957164,7,2418.713033
16.86702,24,2427.13876
10.810455,15,2432.374383
5.955059,7,2434.77396
4.653521,7,2437.231609
1.98943,3,2438.270694
7.728833,11,2442.091949
18.862687,28,2451.696687
3.790727,5,2453.452695
5.557244,7,2455.87734
7.254672,11,2459.693664
18.194104,20,2466.613646
7.794132,9,2469.747075
24.713828,30,2480.149322
11.649954,14,2485.097743
9.519519,12,2489.293199
25.145687,30,2499.793261
19.937546,26,2508.741842
4.166119,6,2510.838433
5.599222,7,2513.33971
21.043277,26,2522.297431
4.957172,6,2524.406321
15.718884,18,2530.642395
24.189761,26,2539.637731
